RATE_TIME,AGENT_TOTAL_CLICK,AGENT_TOTAL_USER,WKST_FINISH_CNT,create_time
20211027,3472,207,0,2021-11-12 14:52
20211028,39546,6497,403,2021-11-12 14:58
20211029,167954,33014,227,2021-11-12 15:04
20211030,367084,80366,600,2021-11-12 15:12
20211031,656643,149309,330,2021-11-12 15:18
20211101,920770,207621,611,2021-11-12 15:23
20211102,1294683,289759,1830,2021-11-12 15:26
20211103,1755538,390862,2255,2021-11-12 15:28
20211104,2259143,493917,4421,2021-11-12 15:31
20211105,2932174,638831,6844,2021-11-12 15:34
20211106,3502096,767792,2506,2021-11-12 15:37
20211107,3841883,843439,1510,2021-11-12 15:39
20211108,4646065,1017242,6077,2021-11-12 15:44
20211109,5117494,1145428,8864,2021-11-12 15:49
20211110,6049671,1337318,11234,2021-11-12 15:53
20211111,6892753,1511253,11440,2021-11-12 15:56
20211112,7325784,1678611,13852,2021-11-13 7:07
20211113,7704472,1753638,5382,2021-11-14 5:50
20211114,8036823,1817626,5294,2021-11-15 5:55
20211115,8688235,1934039,17307,2021-11-16 7:24
20211116,9202551,2009784,16613,2021-11-17 7:46
20211117,9648096,2079243,19360,2021-11-18 6:55
20211118,10042042,2140823,20511,2021-11-19 7:33
20211119,10442916,2207462,17657,2021-11-20 6:44
20211120,10723150,2264108,5603,2021-11-21 5:45
20211121,10950706,2310878,4062,2021-11-22 6:02
20211122,11506243,2379027,14622,2021-11-23 6:37
20211123,11915484,2453293,12995,2021-11-24 6:36
20211124,12445240,2545060,18036,2021-11-25 7:08
20211125,13093286,2654615,17578,2021-11-26 7:09
20211126,13679422,2757091,13065,2021-11-27 6:50
20211127,14226183,2842408,5953,2021-11-28 7:17
20211128,14737780,2934655,3871,2021-11-29 7:02
20211129,15400017,3046623,12257,2021-11-30 7:15
20211130,15957790,3145770,12329,2021-12-1 19:23
20211201,16433859,3228017,8942,2021-12-2 5:45
20211202,16874425,3305329,7118,2021-12-3 6:58
20211203,17258602,3378406,6171,2021-12-4 8:56
20211204,17494044,3430879,2091,2021-12-5 7:22
20211205,17758724,3484504,779,2021-12-12 18:07
20211206,18153193,3533201,5303,2021-12-7 4:23
20211207,18582669,3592510,5530,2021-12-8 4:32
20211208,18973751,3649090,5034,2021-12-9 16:12
20211209,19391085,3718825,4506,2021-12-10 9:53
20211210,19783985,3787959,4259,2021-12-11 9:48
20211211,20068358,3841505,1070,2021-12-12 6:55
20211212,20344999,3892778,1160,2021-12-13 6:55
20211213,20713979,3955183,3964,2021-12-14 8:18
20211214,21096972,4019819,4391,2021-12-15 7:49
20211215,21483625,4083049,4950,2021-12-16 7:34
20211216,21839756,4143255,4556,2021-12-17 9:26
20211217,22211051,4204392,4096,2021-12-18 9:44
20211218,22466687,4248749,1534,2021-12-19 10:31
20211219,22689012,4288022,1818,2021-12-20 10:49
20211220,22689012,4288022,4208,2021-12-21 14:11
20211221,22988701,4338654,3278,2021-12-22 11:39
20211222,23171077,4370698,3845,2021-12-23 9:58
20211223,23317584,4397657,4412,2021-12-24 7:10
20211224,23547164,4435654,4983,2021-12-25 7:35
20211225,23766612,4475051,1594,2021-12-26 7:41
20211226,24012938,4518505,1307,2021-12-27 7:19
20211227,24382095,4575880,4083,2021-12-28 6:34
20211228,24823934,4640994,4782,2021-12-29 13:07
20211229,25291433,4704186,3400,2021-12-30 3:51
20211230,25685931,4761053,3592,2021-12-31 8:22
20211231,26053831,4816187,2685,2022-1-1 7:09
20220101,26353332,4867138,430,2022-1-2 7:51
20220102,26699195,4925865,519,2022-1-3 7:11
20220103,27067440,4987241,442,2022-1-4 6:59
20220104,27666071,5076062,1431,2022-1-5 7:07
20220105,28266944,5165453,1220,2022-1-6 7:20
20220106,28822480,5248285,1647,2022-1-7 7:16
20220107,29339059,5324436,902,2022-1-8 7:27
20220108,29519577,5353929,1039,2022-1-9 7:24
20220109,29529702,5357201,355,2022-1-10 6:59
20220110,29539974,5363414,1898,2022-1-11 6:43
20220111,29559101,5372211,1832,2022-1-12 6:55
20220112,29630030,5393289,2381,2022-1-13 7:32
20220113,29720000,5419558,1862,2022-1-14 7:24
20220114,29793974,5438504,1169,2022-1-15 7:08
20220115,32094639,5822699,528,2022-2-15 10:04
20220116,32595568,5870932,275,2022-2-15 10:11
20220117,33359665,5934139,1244,2022-2-15 10:17
20220118,34038196,5992384,771,2022-2-15 10:24
20220119,34805211,6047645,1339,2022-2-15 10:29
20220120,35489718,6104676,2051,2022-2-15 10:36
20220121,36158919,6157387,1744,2022-2-15 10:42
20220122,36657186,6201830,475,2022-2-15 10:47
20220123,37074121,6240147,280,2022-2-15 10:53
20220124,37689204,6291788,1281,2022-2-15 10:58
20220125,37978552,6339998,1358,2022-2-15 11:04
20220126,38272500,6387105,1442,2022-2-15 11:13
