RATE_TIME,ONLINE_ELE_USERS,ONLINE_ELE_NUM,CREATE_TIME
20181228,509.0,860.0,2020-04-29 19:54:54
20181229,845.0,1520.0,2020-04-29 19:54:57
20181230,955.0,1160.0,2020-04-29 19:54:59
20181231,580.0,720.0,2020-04-29 19:55:02
20190101,870.0,1120.0,2020-04-29 19:55:05
20190102,4102.0,4720.0,2020-04-29 19:55:08
20190103,10136.0,11820.0,2020-04-29 19:55:11
20190104,10807.0,12680.0,2020-04-29 19:55:13
20190105,12030.0,13740.0,2020-04-29 19:55:16
20190106,6372.0,7640.0,2020-04-29 19:55:35
20190107,8126.0,10240.0,2020-04-29 19:55:38
20190108,5961.0,7440.0,2020-04-29 19:55:42
20190109,6774.0,8420.0,2020-04-29 19:55:48
20190110,7711.0,9600.0,2020-04-29 19:55:52
20190111,6898.0,9500.0,2020-04-29 19:55:54
20190112,4627.0,5320.0,2020-04-29 19:55:58
20190113,4217.0,4820.0,2020-04-29 19:56:00
20190114,4140.0,5720.0,2020-04-29 19:56:04
20190115,5187.0,7160.0,2020-04-29 19:56:06
20190116,4362.0,7160.0,2020-04-29 19:56:10
20190117,2929.0,4020.0,2020-04-29 19:56:13
20190118,3240.0,5640.0,2020-04-29 19:56:15
20190119,2113.0,2740.0,2020-04-29 19:56:18
20190120,1805.0,2120.0,2020-04-29 19:56:20
20190121,8728.0,15900.0,2020-04-29 19:56:23
20190122,11598.0,21740.0,2020-04-29 19:56:26
20190123,6370.0,22320.0,2020-04-29 19:56:28
20190124,5514.0,41560.0,2020-04-29 19:56:31
20190125,6458.0,71760.0,2020-04-29 19:56:34
20190126,4664.0,21840.0,2020-04-29 19:56:36
20190127,3752.0,39000.0,2020-04-29 19:56:39
20190128,5965.0,82600.0,2020-04-29 19:56:41
20190129,6260.0,74700.0,2020-04-29 19:56:44
20190130,7129.0,22120.0,2020-04-29 19:56:47
20190131,5520.0,22280.0,2020-04-29 19:56:49
20190201,6249.0,9140.0,2020-04-29 19:56:52
20190202,17748.0,23540.0,2020-04-29 19:56:54
20190203,29342.0,37820.0,2020-04-29 19:56:57
20190204,16270.0,21540.0,2020-04-29 19:56:59
20190205,7937.0,11160.0,2020-04-29 19:57:02
20190206,7235.0,9880.0,2020-04-29 19:57:05
20190207,6518.0,8740.0,2020-04-29 19:57:08
20190208,4942.0,6660.0,2020-04-29 19:57:11
20190209,10478.0,13240.0,2020-04-29 19:57:14
20190210,6540.0,8280.0,2020-04-29 19:57:16
20190211,6512.0,8900.0,2020-04-29 19:57:19
20190212,6827.0,8980.0,2020-04-29 19:57:22
20190213,6387.0,11480.0,2020-04-29 19:57:24
20190214,5558.0,10700.0,2020-04-29 19:57:27
20190215,6281.0,9360.0,2020-04-29 19:57:29
20190216,4796.0,7200.0,2020-04-29 19:57:32
20190217,3996.0,5400.0,2020-04-29 19:57:34
20190218,6004.0,9600.0,2020-04-29 19:57:37
20190219,6545.0,13380.0,2020-04-29 19:57:40
20190220,12670.0,32420.0,2020-04-29 19:57:42
20190221,17201.0,23460.0,2020-04-29 19:57:45
20190222,9700.0,19640.0,2020-04-29 19:57:48
20190223,7166.0,11640.0,2020-04-29 19:57:51
20190224,8175.0,11840.0,2020-04-29 19:57:55
20190225,8402.0,19860.0,2020-04-29 19:57:58
20190226,8673.0,82920.0,2020-04-29 19:58:01
20190227,5843.0,11120.0,2020-04-29 19:58:04
20190228,4595.0,7900.0,2020-04-29 19:58:07
20190301,5629.0,7840.0,2020-04-29 19:58:09
20190302,18687.0,23840.0,2020-04-29 19:58:12
20190303,33255.0,41040.0,2020-04-29 19:58:15
20190304,27762.0,41000.0,2020-04-29 19:58:17
20190305,28747.0,36060.0,2020-04-29 19:58:20
20190306,25464.0,33900.0,2020-04-29 19:58:23
20190307,14631.0,20280.0,2020-04-29 19:58:25
20190308,12742.0,17840.0,2020-04-29 19:58:28
20190309,16559.0,21360.0,2020-04-29 19:58:30
20190310,13982.0,18400.0,2020-04-29 19:58:33
20190311,17856.0,24040.0,2020-04-29 19:58:35
20190312,18186.0,23540.0,2020-04-29 19:58:38
20190313,15498.0,21840.0,2020-04-29 19:58:41
20190314,14143.0,18880.0,2020-04-29 19:58:43
20190315,11106.0,15220.0,2020-04-29 19:58:46
20190316,7389.0,10040.0,2020-04-29 19:58:48
20190317,7305.0,9840.0,2020-04-29 19:58:51
20190318,11474.0,16800.0,2020-04-29 19:58:53
20190319,9320.0,14240.0,2020-04-29 19:58:56
20190320,9725.0,13020.0,2020-04-29 19:58:59
20190321,8646.0,17020.0,2020-04-29 19:59:09
20190322,9149.0,12300.0,2020-04-29 19:59:12
20190323,7355.0,11040.0,2020-04-29 19:59:14
20190324,7325.0,11080.0,2020-04-29 19:59:17
20190325,10219.0,24200.0,2020-04-29 19:59:20
20190326,9315.0,23820.0,2020-04-29 19:59:23
20190327,8644.0,34180.0,2020-04-29 19:59:25
20190328,7664.0,44840.0,2020-04-29 19:59:28
20190329,7080.0,39800.0,2020-04-29 19:59:31
20190330,6267.0,15260.0,2020-04-29 19:59:34
20190331,5505.0,19120.0,2020-04-29 19:59:37
20190401,6570.0,8540.0,2020-04-29 19:59:39
20190402,27046.0,34180.0,2020-04-29 19:59:42
20190403,37562.0,47960.0,2020-04-29 19:59:44
20190404,41000.0,51980.0,2020-04-29 19:59:46
20190405,27118.0,34700.0,2020-04-29 19:59:49
20190406,27490.0,34200.0,2020-04-29 19:59:52
20190407,17222.0,21800.0,2020-04-29 19:59:54
20190408,21255.0,27660.0,2020-04-29 19:59:57
20190409,24421.0,31180.0,2020-04-29 19:59:59
20190410,25302.0,32760.0,2020-04-29 20:00:02
20190411,25315.0,33400.0,2020-04-29 20:00:05
20190412,28602.0,36720.0,2020-04-29 20:00:21
20190413,17629.0,21760.0,2020-04-29 20:00:33
20190414,15869.0,19600.0,2020-04-29 20:00:52
20190415,18035.0,24600.0,2020-04-29 20:00:59
20190416,17555.0,23480.0,2020-04-29 20:01:03
20190417,15095.0,19240.0,2020-04-29 20:01:06
20190418,16831.0,21960.0,2020-04-29 20:01:09
20190419,18146.0,23780.0,2020-04-29 20:01:12
20190420,13282.0,17660.0,2020-04-29 20:01:15
20190421,10909.0,14900.0,2020-04-29 20:01:19
20190422,16017.0,24660.0,2020-04-29 20:01:23
20190423,15936.0,22140.0,2020-04-29 20:01:29
20190424,15910.0,22360.0,2020-04-29 20:01:33
20190425,15631.0,21120.0,2020-04-29 20:01:37
20190426,15658.0,20240.0,2020-04-29 20:01:43
20190427,5690.0,7500.0,2020-04-29 20:01:46
20190428,21721.0,35780.0,2020-04-29 20:01:49
20190429,23011.0,64580.0,2020-04-29 20:02:01
20190430,22542.0,46920.0,2020-04-29 20:02:08
20190501,17946.0,22880.0,2020-04-29 20:02:16
20190502,87150.0,103680.0,2020-04-29 20:15:21
20190503,132856.0,158000.0,2020-04-29 20:15:27
20190504,123132.0,164540.0,2020-04-29 20:15:31
20190505,137034.0,168260.0,2020-04-29 20:15:35
20190506,120436.0,153600.0,2020-04-29 20:15:38
20190507,76734.0,106200.0,2020-04-29 20:15:41
20190508,65017.0,128200.0,2020-04-29 20:15:44
20190509,91468.0,169020.0,2020-04-29 20:15:47
20190510,77724.0,211380.0,2020-04-29 20:15:51
20190511,66479.0,201260.0,2020-04-29 20:15:58
20190512,69240.0,191600.0,2020-04-29 20:16:01
20190513,68784.0,233260.0,2020-04-29 20:16:04
20190514,64292.0,248520.0,2020-04-29 20:16:08
20190515,69023.0,278000.0,2020-04-29 20:16:15
20190516,68659.0,244480.0,2020-04-29 20:16:19
20190517,72231.0,265840.0,2020-04-29 20:16:25
20190518,51382.0,225620.0,2020-04-29 20:16:29
20190519,57354.0,219900.0,2020-04-29 20:16:32
20190520,85062.0,238640.0,2020-04-29 20:16:35
20190521,98882.0,157580.0,2020-04-29 20:16:38
20190522,102080.0,205940.0,2020-04-29 20:16:41
20190523,99483.0,210560.0,2020-04-29 20:16:44
20190524,88708.0,200860.0,2020-04-29 20:16:46
20190525,63659.0,162040.0,2020-04-29 20:16:48
20190526,50762.0,109400.0,2020-04-29 20:16:51
20190527,76389.0,167880.0,2020-04-29 20:16:53
20190528,94224.0,162420.0,2020-04-29 20:16:55
20190529,82222.0,139160.0,2020-04-29 20:16:58
20190530,63035.0,112640.0,2020-04-29 20:17:00
20190531,62427.0,98920.0,2020-04-29 20:17:02
20190601,49460.0,68860.0,2020-04-29 20:17:07
20190602,117927.0,150020.0,2020-04-29 20:17:09
20190603,187837.0,254180.0,2020-04-29 20:17:12
20190604,235876.0,312520.0,2020-04-29 20:17:15
20190605,224881.0,317800.0,2020-04-29 20:17:17
20190606,196439.0,286100.0,2020-04-29 20:17:20
20190607,85530.0,113020.0,2020-04-29 20:17:22
20190608,85589.0,124980.0,2020-04-29 20:17:25
20190609,117534.0,156640.0,2020-04-29 20:17:30
20190610,117815.0,194780.0,2020-04-29 20:17:35
20190611,112799.0,190920.0,2020-04-29 20:17:38
20190612,123745.0,208880.0,2020-04-29 20:17:40
20190613,90042.0,169620.0,2020-04-29 20:17:42
20190614,85511.0,175140.0,2020-04-29 20:17:45
20190615,54562.0,109940.0,2020-04-29 20:17:47
20190616,45343.0,91500.0,2020-04-29 20:17:49
20190617,62146.0,148320.0,2020-04-29 20:17:51
20190618,66661.0,143780.0,2020-04-29 20:17:54
20190619,65123.0,146700.0,2020-04-29 20:17:56
20190620,46789.0,118680.0,2020-04-29 20:17:58
20190621,69362.0,199020.0,2020-04-29 20:18:01
20190622,48382.0,110020.0,2020-04-29 20:18:03
20190623,36749.0,84540.0,2020-04-29 20:18:05
20190624,64953.0,212340.0,2020-04-29 20:18:07
20190625,68593.0,288380.0,2020-04-29 20:18:10
20190626,60333.0,157920.0,2020-04-29 20:18:12
20190627,60477.0,214640.0,2020-04-29 20:18:15
20190628,55837.0,178580.0,2020-04-29 20:18:18
20190629,47969.0,115700.0,2020-04-29 20:18:20
20190630,45006.0,74120.0,2020-04-29 20:18:23
20190701,56456.0,104140.0,2020-04-29 20:18:25
20190702,146411.0,197200.0,2020-04-29 20:18:34
20190703,203285.0,278820.0,2020-04-29 20:18:36
20190704,215623.0,314260.0,2020-04-29 20:18:38
20190705,201003.0,304900.0,2020-04-29 20:18:41
20190706,155502.0,224340.0,2020-04-29 20:18:44
20190707,95083.0,144840.0,2020-04-29 20:18:47
20190708,108323.0,223920.0,2020-04-29 20:18:50
20190709,141493.0,252960.0,2020-04-29 20:18:53
20190710,119286.0,253160.0,2020-04-29 20:18:55
20190711,125347.0,273600.0,2020-04-29 20:18:58
20190712,127771.0,282940.0,2020-04-29 20:19:00
20190713,85604.0,168160.0,2020-04-29 20:19:03
20190714,70285.0,137160.0,2020-04-29 20:19:05
20190715,93283.0,300140.0,2020-04-29 20:19:07
20190716,88151.0,265380.0,2020-04-29 20:19:09
20190717,84361.0,289960.0,2020-04-29 20:19:12
20190718,87716.0,347420.0,2020-04-29 20:19:14
20190719,92111.0,409420.0,2020-04-29 20:19:16
20190720,74506.0,268560.0,2020-04-29 20:19:18
20190721,72141.0,256820.0,2020-04-29 20:19:22
20190722,104194.0,373460.0,2020-04-29 20:19:24
20190723,110222.0,528060.0,2020-04-29 20:19:26
20190724,111002.0,650000.0,2020-04-29 20:19:28
20190725,117528.0,709580.0,2020-04-29 20:19:30
20190726,117825.0,591100.0,2020-04-29 20:19:32
20190727,86718.0,360240.0,2020-04-29 20:19:35
20190728,73763.0,245020.0,2020-04-29 20:19:37
20190729,96220.0,522900.0,2020-04-29 20:19:39
20190730,96305.0,765980.0,2020-04-29 20:19:44
20190731,105595.0,704500.0,2020-04-29 20:19:46
20190801,84208.0,454196.0,2020-04-29 20:19:48
20190802,168606.0,555624.0,2020-04-29 20:19:50
20190803,280101.0,497952.0,2020-04-29 20:19:53
20190804,246042.0,548580.0,2020-04-29 20:19:55
20190805,269067.0,843172.0,2020-04-29 20:19:57
20190806,265785.0,798648.0,2020-04-29 20:19:59
20190807,153090.0,725656.0,2020-04-29 20:20:01
20190808,138629.0,866672.0,2020-04-29 20:20:04
20190809,169263.0,869896.0,2020-04-29 20:20:06
20190810,115292.0,443992.0,2020-04-29 20:20:09
20190811,122452.0,446600.0,2020-04-29 20:20:11
20190812,159321.0,552964.0,2020-04-29 20:20:13
20190813,135126.0,545948.0,2020-04-29 20:20:15
20190814,130490.0,643392.0,2020-04-29 20:20:18
20190815,117914.0,624604.0,2020-04-29 20:20:20
20190816,109010.0,603800.0,2020-04-29 20:20:23
20190817,87334.0,308300.0,2020-04-29 20:20:25
20190818,79171.0,293672.0,2020-04-29 20:20:28
20190819,115006.0,594472.0,2020-04-29 20:20:30
20190820,118908.0,640316.0,2020-04-29 20:20:32
20190821,115874.0,723332.0,2020-04-29 20:20:34
20190822,111351.0,1025268.0,2020-04-29 20:20:37
20190823,110790.0,1186956.0,2020-04-29 20:20:40
