rate_time,recharge_ele,recharge_num,orders_paid_num
20190901,528.2,16.0,0.0
20190902,643.7999999999998,28.0,0.0
20190903,494.6,39.0,0.0
20190904,360.9200000000001,24.0,0.0
20190905,287.04,28.0,0.0
20190906,591.9200000000001,32.0,0.0
20190907,331.47,27.0,0.0
20190908,1011.4399999999998,38.0,0.0
20190909,604.3599999999999,28.0,0.0
20190910,1008.96,52.0,0.0
20190911,425.24,24.0,0.0
20190912,640.9199999999998,62.0,0.0
20190913,1342.36,60.0,0.0
20190914,874.7199999999999,46.0,0.0
20190915,1027.08,48.0,0.0
20190916,667.5200000000001,24.0,0.0
20190917,762.44,30.0,0.0
20190918,430.80000000000007,12.0,0.0
20190919,616.2399999999999,28.0,0.0
20190920,236.07999999999998,18.0,0.0
20190921,297.24,22.0,0.0
20190922,611.7599999999999,24.0,0.0
20190923,388.52,14.0,0.0
20190924,373.84,20.0,0.0
20190925,350.08000000000004,24.0,0.0
20190926,208.16000000000003,30.0,0.0
20190927,203.0,36.0,0.0
20190928,425.28,36.0,0.0
20190929,1069.1999999999998,73.0,0.0
20190930,1157.28,44.0,0.0
20191001,2166.7599999999993,74.0,0.0
20191002,1424.7200000000005,74.0,0.0
20191003,2008.72,74.0,0.0
20191004,1302.68,50.0,0.0
20191005,1354.1200000000003,56.0,0.0
20191006,2034.52,36.0,0.0
20191007,899.94,38.0,0.0
20191008,1209.2000000000005,64.0,0.0
20191009,610.88,26.0,0.0
20191010,694.8800000000001,36.0,0.0
20191011,421.08,44.0,0.0
20191012,890.4,68.0,0.0
20191013,1064.24,64.0,0.0
20191014,727.4800000000001,32.0,0.0
20191015,1203.3200000000002,76.0,0.0
20191016,620.2,28.0,0.0
20191017,389.4,33.0,0.0
20191018,911.5600000000002,60.0,0.0
20191019,480.40000000000003,42.0,0.0
20191020,403.6399999999999,36.0,0.0
20191021,839.5600000000001,50.0,0.0
20191022,345.87999999999994,34.0,0.0
20191023,478.47999999999996,24.0,0.0
20191024,450.03999999999996,22.0,0.0
20191025,167.71999999999997,28.0,0.0
20191026,745.9999999999999,50.0,0.0
20191027,711.4799999999999,30.0,0.0
20191028,636.12,44.0,0.0
20191029,636.16,36.0,0.0
20191030,250.95999999999995,30.0,0.0
20191031,434.87999999999994,8.0,0.0
20191101,475.28000000000003,45.0,0.0
20191102,827.8800000000001,28.0,0.0
20191103,785.7199999999999,22.0,0.0
20191104,475.56,38.0,0.0
20191105,728.1200000000002,28.0,0.0
20191106,650.0799999999999,20.0,0.0
20191107,426.64000000000004,36.0,0.0
20191108,434.56,36.0,0.0
20191109,712.0400000000001,44.0,0.0
20191110,590.96,40.0,0.0
20191111,675.88,24.0,0.0
20191112,649.2,8.0,0.0
20191113,469.91999999999985,22.0,0.0
20191114,731.5799999999999,36.0,0.0
20191115,1048.9199999999998,68.0,0.0
20191116,785.8400000000001,31.0,0.0
20191117,930.6399999999999,42.0,0.0
20191118,1108.3999999999999,40.0,0.0
20191119,1604.04,94.0,0.0
20191120,939.0799999999999,76.0,0.0
20191121,751.1799999999998,132.0,0.0
20191122,623.2800000000001,110.0,0.0
20191123,1252.4600000000003,68.0,0.0
20191124,934.76,34.0,0.0
20191125,805.94,77.0,0.0
20191126,1282.7999999999997,64.0,0.0
20191127,1779.9199999999998,124.0,0.0
20191128,1165.9399999999998,48.0,0.0
20191129,1062.96,108.0,0.0
20191130,1136.68,92.0,0.0
20191201,1548.7199999999998,76.0,0.0
20191202,612.5199999999998,80.0,0.0
20191203,742.2600000000003,84.0,0.0
20191204,431.6,82.0,0.0
20191205,1110.3800000000003,92.0,0.0
20191206,785.0799999999999,0.0,0.0
20191207,795.4899999999998,0.0,0.0
20191208,610.8000000000001,0.0,0.0
20191209,732.0399999999997,0.0,0.0
20191210,307.0799999999999,0.0,0.0
20191211,346.48,0.0,0.0
20191212,867.0799999999999,0.0,0.0
20191213,718.1999999999999,0.0,0.0
20191214,353.19999999999993,0.0,0.0
20191215,226.01999999999998,0.0,0.0
20191216,568.28,0.0,0.0
20191217,265.56,32.0,0.0
20191218,1097.2600000000002,50.0,0.0
20191219,1427.3,98.0,0.0
20191220,1599.2799999999997,70.0,0.0
20191221,1175.52,92.0,0.0
20191222,1152.08,59.0,0.0
20191223,1295.6999999999998,80.0,0.0
20191224,1328.3999999999999,68.0,0.0
20191225,1139.3200000000002,66.0,0.0
20191226,1288.28,77.0,0.0
20191227,566.3599999999997,52.0,0.0
20191228,1078.7199999999998,67.0,0.0
20191229,798.9700000000001,75.0,0.0
20191230,1275.1199999999997,66.0,0.0
20191231,1665.2999999999995,123.0,0.0
20200101,161320.0,11873.0,1358.0
20200102,720.0,40.0,0.0
20200103,1467.0,91.0,0.0
20200104,1024.0,88.0,8.0
20200105,1199.0,91.0,0.0
20200106,1223.0,94.0,0.0
20200107,1272.0,80.0,0.0
20200108,1629.0,87.0,0.0
20200109,1528.0,108.0,4.0
20200110,2424.0,135.0,4.0
20200111,3172.0,198.0,0.0
20200112,4024.0,180.0,4.0
20200113,2856.0,176.0,8.0
20200114,1472.0,116.0,8.0
