data_time,hyyhs_cnt,hyjzyhs_cnt,tgyhzs_cnt,data_update_time
20181228,2208.0,2037.0,4477.0,2020-1-18 19:36
20181229,6898.0,6217.0,13217.0,2020-1-18 19:39
20181230,2272.0,2055.0,15663.0,2020-1-18 19:42
20181231,2935.0,2637.0,19246.0,2020-1-18 19:45
20190101,2114.0,1961.0,21659.0,2020-1-18 19:48
20190102,4576.0,4277.0,26817.0,2020-1-18 19:51
20190103,6205.0,5870.0,33324.0,2020-1-18 19:54
20190104,6159.0,5880.0,38871.0,2020-1-18 19:56
20190105,4929.0,4675.0,42802.0,2020-1-18 19:59
20190106,4916.0,4628.0,47554.0,2020-1-18 20:02
20190107,8072.0,7659.0,55177.0,2020-1-18 20:05
20190108,10776.0,10253.0,66038.0,2020-1-18 20:09
20190109,13079.0,12472.0,78440.0,2020-1-18 20:12
20190110,13246.0,12615.0,90071.0,2020-1-18 20:16
20190111,11824.0,11061.0,99169.0,2020-1-18 20:19
20190112,4463.0,4183.0,102282.0,2020-1-18 20:22
20190113,4010.0,3753.0,105216.0,2020-1-18 20:24
20190114,11201.0,10449.0,115059.0,2020-1-18 20:27
20190115,16130.0,15194.0,128954.0,2020-1-18 20:30
20190116,13426.0,12514.0,140568.0,2020-1-18 20:33
20190117,12183.0,11231.0,149837.0,2020-1-18 20:37
20190118,11746.0,10769.0,158697.0,2020-1-18 20:40
20190119,4376.0,4044.0,161082.0,2020-1-18 20:42
20190120,4428.0,4106.0,163646.0,2020-1-18 20:45
20190121,11572.0,11074.0,170055.0,2020-1-18 20:48
20190122,11292.0,10819.0,176461.0,2020-1-18 20:51
20190123,9197.0,8658.0,182287.0,2020-1-18 20:54
20190124,8413.0,7832.0,187778.0,2020-1-18 20:58
20190125,8791.0,8353.0,193993.0,2020-1-18 21:01
20190126,4863.0,4587.0,196787.0,2020-1-18 21:04
20190127,3971.0,3753.0,198747.0,2020-1-18 21:08
20190128,6566.0,6237.0,202595.0,2020-1-18 21:12
20190129,7389.0,6996.0,208626.0,2020-1-18 21:15
20190130,9335.0,8925.0,216174.0,2020-1-18 21:18
20190131,8786.0,8424.0,222841.0,2020-1-18 21:22
20190201,7884.0,7514.0,227442.0,2020-1-18 21:25
20190202,8432.0,8012.0,231370.0,2020-1-18 21:28
20190203,9398.0,8976.0,234903.0,2020-1-18 21:31
20190204,5863.0,5523.0,236733.0,2020-1-18 21:34
